name,country,city,address,websiteUrl,sourceUrl,description,feesMin,feesMax,currency,feePeriod,curricula,activities,languages
Qimam El-Hayat International School,SA,Riyadh,"Salih Ash Shatri, Al foutah، Al Futah, Riyadh 12632, Saudi Arabia",https://www.qimamelhayat.edu.sa/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/qimam-el-hayat-international-school-riyadh,"Qimam El-Hayat International School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",13000,17500,SAR,yearly,British|American,Football|Basketball,English
King Faisal School: Details and Reviews,SA,Riyadh,DQ - Al Idrisi As Safarat P.O Box: 94558 Riyadh Saudi Arabia,https://www.kfs.sch.sa/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/king-faisal-school-riyadh,"King Faisal School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, etc.",,,,,American|IB,Football|Basketball|Swimming|Arts,English
Al-Yasmin International School,SA,Riyadh,"Ibn Faris, Al Malaz Riyadh 11391 Saudi Arabia",https://alyasmin.edu.sa/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/al-yasmin-international-school-riyadh,"Al-Yasmin International School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",8625,11499,SAR,yearly,British|American|IB,Music|Debate,English
King’s College Riyadh SEDRA,SA,Riyadh,"SEDRA, Riyadh, Saudi Arabia",https://kingscollegeriyadh.com/sedra/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/king-s-college-riyadh-sedra,"King’s College Riyadh SEDRA details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",58363,92288,SAR,yearly,British|American|IB,,English
Dream International School,SA,Riyadh,"Abi Bakr As Siddiq Branch Rd, An Nuzhah, Riyadh 12471, Saudi Arabia",https://dis.com.sa/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/dream-international-school-riyadh,"Dream International School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",20000,25000,SAR,yearly,American|IB,Arts|Drama,English
Dome International Schools,SA,Riyadh,"2336 Al Maidani, Almasiaf, Riyadh 12467, Saudi Arabia Dome International Schools Al-Malqa: Ages 3 to 18 Address: Al Malqa, Riyadh 13524, Saudi Arabia The Global Line Academy: Ages 3 to 18 Address: 3925 RAJB7059، 7059, Riyadh 13333, Saudi Arabia",https://dome.edu.sa/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/dome-international-schools-riyadh,"Dome International Schools details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",25125,40125,SAR,yearly,British|American|IB,Basketball,English
Riyadh Academy Global Hittin,SA,Riyadh,"Hittin, Riyadh 13518, Saudi Arabia",https://riyadhacademy.edu.sa/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/riyadh-academy-global-hittin,"Riyadh Academy Global Hittin details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",33000,37000,SAR,yearly,British|American|IB,Arts,English
Misk Schools,SA,Riyadh,"Mohammed Bin Salman Nonprofit City, Irqah, Riyadh 12587, Kingdom of Saudi Arabia",https://www.miskschools.edu.sa/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/misk-schools-riyadh,"Misk Schools details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",85000,125000,SAR,yearly,British|American|IB,Swimming|Robotics|STEM Club|Arts|Music|Coding Club,English|Arabic
Sri Lankan International School Riyadh,SA,Riyadh,"P.O. Box 27849, Riyadh, Saudi Arabia. 11427",https://slisr.org/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/sri-lankan-international-school-riyadh,"Sri Lankan International School Riyadh details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",8100,8790,SAR,yearly,British|American|IB|Cambridge,Football|Basketball|Debate,English
Dunes International School,SA,Riyadh,"7749 Abi Al Ala Al Maari, Al Malaz, 2721, Riyadh 12831, Saudi Arabia",https://dis.sa/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/dunes-international-school-riyadh,"Dunes International School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",13950,15600,SAR,yearly,American|IB,Arts,English
Mastery International School,SA,Riyadh,"Al-Maseef, Exit 5 – Abdullah Bin Ayoub Street, Riyadh, Saudi Arabia",https://mastery.edu.sa/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/mastery-international-school-riyadh,"Mastery International School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",17250,18400,SAR,yearly,British|American|IB,Arts|Debate,English
Abdulaziz International School Al-Sulaimaniah,SA,Riyadh,"Al Ala Ibn Al Hadrami, Sulaimaniyah Riyadh 12234 Saudi Arabia",https://aissulaimaniah.sabis.net/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/abdulaziz-international-school-riyadh,"Abdulaziz International School Al-Sulaimaniah details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",30000,46000,SAR,yearly,British|American|IB|Cambridge,,English
Abdulaziz International School Al-Wadi,SA,Riyadh,"P.O. Box 68629, Riyadh 11537, Exit 6, Al Wadi, Riyadh, Kingdom of Saudi Arabia",https://aisalwadi.sabis.net/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/abdulaziz-international-school-al-wadi-riyadh,"Abdulaziz International School Al-Wadi details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",30000,40000,SAR,yearly,British|American|IB,,English
JAD International Schools,SA,Riyadh,"Al Khateeb Ibn Taymiya - Al Waha District, Riyadh, Saudi Arabia",https://www.jad-is.com/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/jad-international-schools-riyadh,"JAD International Schools details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",25000,33000,SAR,yearly,British|American|IB,Arts,English
Riyadh Schools Al Malqa,SA,Riyadh,"Al Malqa, Riyadh Saudi Arabia",https://rsg.edu.sa/RSAlMalqa/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/riyadh-schools-al-malqa,"Riyadh Schools Al Malqa details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",33350,52325,SAR,yearly,British|American|IB,Arts|Music,English
Al Sahafa International School,SA,Riyadh,"RHMA 3320 As Saffaniyah, 6685 Al Mursalat Dist., Riyadh 12461, Saudi Arabia",https://alsahafaschool.edu.sa/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/al-sahafa-international-school-riyadh,"Al Sahafa International School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",32000,39000,SAR,yearly,American|IB,,English
House of Languages International School,SA,Riyadh,"Al Muruj, Riyadh 12283, Saudi Arabia",http://www.houseoflang.com/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/house-of-languages-international-school-riyadh,"House of Languages International School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",13500,17100,SAR,yearly,British|American|IB,,English
